dataset,model,accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,n_samples_test,n_features,n_classes
flights,bagging_10,0.9207345241761626,0.9202757654897878,0.9187103564092618,0.9222520373840069,0.9207345241761626,25976,22,2
flights,bagging_50,0.919695103172159,0.9192700439347932,0.9177105094643656,0.9209448868047926,0.919695103172159,25976,22,2
flights,bagging_100,0.9201185709886048,0.9196709616445703,0.9181030924505491,0.9215310053323542,0.9201185709886048,25976,22,2
flights,random_forest_10,0.940291037881121,0.9399445433415287,0.9387647499038183,0.9420988863914969,0.940291037881121,25976,22,2
flights,random_forest_50,0.9489528795811518,0.9487127970832611,0.947742055350718,0.9502560658844014,0.9489528795811518,25976,22,2
flights,random_forest_100,0.9501847859562673,0.9499504973044797,0.9490031822200823,0.9515020026197255,0.9501847859562673,25976,22,2
credit_cards,bagging_10,0.9995172262453369,0.9994908616871748,0.913941636817123,0.99949578847354,0.9995172262453369,45570,30,2
credit_cards,bagging_50,0.9996050032916393,0.9995834322895067,0.9295886119412824,0.999594331656804,0.9996050032916393,45570,30,2
credit_cards,bagging_100,0.9996269475532148,0.9996049476385978,0.9329774728902187,0.9996211853403539,0.9996269475532148,45570,30,2
credit_cards,random_forest_10,0.9995830590300636,0.9995584708901976,0.9250924697008327,0.9995714261221416,0.9995830590300636,45570,30,2
credit_cards,random_forest_50,0.9996050032916393,0.9995834322895067,0.9295886119412824,0.999594331656804,0.9996050032916393,45570,30,2
credit_cards,random_forest_100,0.9995830590300636,0.9995584708901976,0.9250924697008327,0.9995714261221416,0.9995830590300636,45570,30,2
human_activity,bagging_10,0.8917543264336614,0.8911278259424017,0.8892918250534807,0.8925268643237241,0.8917543264336614,2947,562,6
human_activity,bagging_50,0.8961655921275874,0.8957182460182996,0.8943139820692595,0.8976433923940321,0.8961655921275874,2947,562,6
human_activity,bagging_100,0.8985408890397014,0.8981475614692325,0.8970358086216222,0.8999720670503075,0.8985408890397014,2947,562,6
human_activity,random_forest_10,0.9022734984730234,0.9020197664783675,0.8997894753657082,0.9040538635007958,0.9022734984730234,2947,562,6
human_activity,random_forest_50,0.9250084832032576,0.9249414357216247,0.9233042714565781,0.9266073961828271,0.9250084832032576,2947,562,6
human_activity,random_forest_100,0.9270444519850696,0.9269283644227584,0.9253015742990467,0.928436272771125,0.9270444519850696,2947,562,6
